"CustomerID";"FDP_Date";"FDP_Time";"FDPd";"REGdFDP";"BrandID";"CompID"
5242289;"04/09/2019";769;735.0833;13;4;2
5242292;"22/08/2019";813;748.0417;0;4;2
5242300;"22/08/2019";947;747.9583;0;4;2
5242313;"26/08/2019";804;744.0417;4;4;2
5242316;"22/08/2019";694;748.125;0;4;2
5242329;"05/08/2020";632;399.1667;349;4;2
5242354;"22/08/2019";693;748.125;0;4;18
5242356;"27/09/2019";553;712.25;36;4;2
5242371;"09/09/2019";943;729.9583;18;4;2
5242372;"22/08/2019";716;748.125;0;4;2
5242441;"03/09/2019";988;735.9167;12;4;2
5242454;"29/08/2019";626;741.1667;7;4;2
5242488;"25/08/2019";863;745.0;3;4;2
5242568;"28/08/2019";611;742.2083;6;4;2
5242572;"22/08/2019";936;747.9583;0;4;2
5242575;"22/08/2019";1034;747.9167;0;4;2
5242656;"22/08/2019";951;747.9583;0;4;2
5242672;"22/08/2019";1045;747.875;0;4;2
5242700;"09/09/2019";872;730.0;18;4;2
5242759;"25/08/2019";997;744.9167;3;4;2
5242769;"23/08/2019";824;747.0417;1;3;2
5242774;"27/08/2019";1185;742.7917;5;4;2
5242807;"10/10/2019";656;699.1667;49;4;2
5242853;"23/08/2019";622;747.1667;1;3;2
5242866;"26/08/2019";900;744.0;4;4;2
5242917;"27/08/2019";1056;742.875;4;4;2
5242927;"13/10/2020";543;330.25;417;4;2
5242991;"23/08/2019";219;747.4583;0;4;2
5243121;"26/08/2019";1160;743.7917;3;4;2
5243129;"25/08/2019";998;744.9167;2;4;2
5243153;"27/08/2019";913;743.0;4;4;2
5243164;"05/09/2019";866;734.0;13;4;2
5243180;"23/08/2019";831;747.0417;0;4;2
5243224;"26/08/2019";875;744.0;3;4;2
5243238;"07/10/2019";873;702.0;45;4;2
5243269;"25/08/2019";994;744.9167;2;4;2
5243278;"28/08/2019";1160;741.7917;5;4;2
5243297;"26/09/2019";888;713.0;34;4;2
5243318;"16/09/2019";1029;722.9167;24;4;2
5243386;"07/11/2019";715;671.125;76;4;2
5243417;"28/08/2019";755;742.0833;5;4;2
5243453;"26/08/2019";663;744.1667;3;4;2
5243458;"25/08/2019";1009;744.9167;2;4;2
5243483;"25/08/2019";1063;744.875;2;4;2
5243498;"25/08/2019";1018;744.9167;2;4;2
5243506;"29/08/2019";543;741.25;6;5;2
5243522;"30/08/2019";1288;739.7083;7;4;2
5243545;"28/08/2019";749;742.0833;4;4;2
5243560;"17/09/2019";968;721.9583;24;4;2
5243578;"24/08/2019";749;746.0833;0;4;2
5243646;"16/09/2019";914;723.0;23;4;2
5243657;"28/08/2019";939;741.9583;4;4;2
5243672;"02/09/2019";1036;736.875;9;4;2
5243676;"16/09/2019";575;723.2083;23;4;2
5243690;"25/08/2019";691;745.125;1;4;2
5243696;"26/08/2019";1147;743.8333;2;4;2
5243724;"26/08/2019";1070;743.875;2;4;2
5243730;"25/08/2019";827;745.0417;1;3;2
5243763;"25/08/2019";666;745.1667;1;4;2
5243775;"25/08/2019";668;745.1667;1;4;2
5243836;"25/08/2019";1005;744.9167;1;4;2
5243901;"25/08/2019";965;744.9583;1;4;2
5243931;"25/08/2019";690;745.125;1;4;2
5243965;"13/10/2019";783;696.0833;50;4;2
5244038;"10/09/2019";641;729.1667;17;4;2
5244108;"01/09/2019";975;737.9167;7;4;18
5244139;"27/08/2019";509;743.25;2;4;2
5244181;"26/08/2019";1080;743.875;1;4;18
5244195;"17/07/2020";1029;417.9167;327;4;2
5244291;"01/09/2019";934;737.9583;7;4;2
5244409;"25/08/2019";862;745.0;0;4;2
5244547;"25/08/2019";960;744.9583;0;4;2
5244560;"25/08/2019";793;745.0833;0;4;2
5244589;"17/09/2019";988;721.9167;23;4;2
5244620;"25/08/2019";970;744.9583;0;4;2
5244633;"25/08/2019";1024;744.9167;0;4;2
5244639;"10/09/2019";1025;728.9167;16;4;2
